title,label,n_char,n_words,avg_word_length,n_cap_words,n_num
Both parties want to craft populist messages for 2016,REAL,53,9,5.0,1,1
First Take: Wall Street bids goodbye to June hike,REAL,49,9,4.555555555555555,5,0
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,FAKE,63,10,5.4,10,0
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,FAKE,71,11,5.545454545454546,10,0
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",REAL,88,13,5.846153846153846,5,0
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE,83,11,6.636363636363637,9,1
Obama makes the right call to tough it out in Afghanistan,REAL,57,11,4.2727272727272725,2,0
Senate race rankings: Dems attack as GOP lays swing-state groundwork,REAL,68,10,5.9,3,0
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,FAKE,124,24,4.208333333333333,2,0
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,FAKE,133,21,5.380952380952381,12,0
American politics has reached peak polarization,REAL,47,6,7.0,1,0
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL,80,9,8.0,2,0
"3 Effects of Substance Abuse on Individual, Family and Community",FAKE,64,10,5.5,6,1
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,FAKE,60,11,4.545454545454546,10,1
New Comment Features have been Added,FAKE,36,6,5.166666666666667,4,0
World's newspapers react to 'Hebdo' attack,REAL,42,6,6.166666666666667,1,0
Ying and Yang (the Gold and Silver Set-Up),FAKE,42,8,4.375,5,0
"Closed primaries, 'warped' democracy?",REAL,37,4,8.5,1,0
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FAKE,82,12,5.916666666666667,12,0
Donald Trump: Hillary Clinton has 'caused tremendous death',REAL,59,8,6.5,4,0
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,FAKE,101,14,6.285714285714286,2,0
Biden makes another surprise political stop,REAL,43,6,6.333333333333333,1,0
"Hillary Clinton's declining favorability numbers, in context",REAL,60,7,7.714285714285714,2,0
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,FAKE,125,19,5.631578947368421,15,0
Hillary Clinton: The criminal investigation keeps moving forward,REAL,64,8,7.125,3,0
Rubio’s parting shot at Trump,REAL,29,5,5.0,2,0
Loretta Lynch becomes first African-American woman AG.,REAL,54,7,6.857142857142857,4,0
Why it's funny Republicans are upset with Facebook: Column,REAL,58,9,5.555555555555555,4,0
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,REAL,78,13,5.076923076923077,2,0
Is google and YouTube in the Hillary's purse?,FAKE,45,8,4.75,3,0
Handicapping the Hispanic vote for 2016 GOPers,REAL,46,7,5.714285714285714,3,1
Truth Will Out Radio: The Laconia Incident,FAKE,42,7,5.142857142857143,7,0
GOP establishment nightmare? Ted Cruz vs. Donald Trump,REAL,54,8,5.875,5,0
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,REAL,106,19,4.631578947368421,4,0
Should I Get Botox?,FAKE,19,4,4.0,4,0
Jeb Bush Picks Up Endorsement From Lindsey Graham,REAL,49,8,5.25,8,0
"2016 Republican race enters a new, volatile phase",REAL,49,8,5.25,1,1
"‘Hands up, don’t shoot’ was built on a lie",REAL,42,9,3.7777777777777777,0,0
Lavrov and Kerry discuss Syrian settlement,FAKE,42,6,6.166666666666667,3,0
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,FAKE,71,13,4.538461538461538,8,0
Bernie Sanders' call for ouster of two convention co-chairs rejected,REAL,68,10,5.9,2,0
Five Reasons the New York Democratic Primary Felt Competitive,REAL,61,9,5.888888888888889,8,0
"To get around Congress, Obama turns to city halls",REAL,49,9,4.555555555555555,3,0
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,FAKE,80,11,6.363636363636363,10,0
John Kerry: ISIS responsible for genocide,REAL,41,6,6.0,3,0
Mitt Romney's Re-Invention As Anti-Poverty Warrior,REAL,50,6,7.5,6,0
King: Fill the Supreme Court vacancy,REAL,36,6,5.166666666666667,4,0
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL,102,21,3.9047619047619047,4,0
Obama’s speech in Selma was an answer to those who question his love for America,REAL,80,15,4.4,3,0
Where Does Bernie Sanders Go From Here?,REAL,39,7,4.714285714285714,7,0
Exclusive: GOP campaigns plot revolt against RNC,REAL,48,7,6.0,3,0
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE,81,11,6.454545454545454,11,0
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE,73,11,5.7272727272727275,8,1
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL,56,9,5.333333333333333,5,0
French police hunt two brothers accused of Charlie Hebdo terror attack,REAL,70,11,5.454545454545454,3,0
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE,99,18,4.555555555555555,3,1
CNN: One voter can make a difference by voting repeatedly,FAKE,57,10,4.8,2,0
Give Social Security recipients a CEO-style raise,REAL,49,7,6.142857142857143,4,0
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL,68,12,4.75,6,0
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL,72,11,5.636363636363637,2,0
