title,label
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL
Obama’s speech in Selma was an answer to those who question his love for America,REAL
Where Does Bernie Sanders Go From Here?,REAL
Exclusive: GOP campaigns plot revolt against RNC,REAL
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL
French police hunt two brothers accused of Charlie Hebdo terror attack,REAL
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE
CNN: One voter can make a difference by voting repeatedly,FAKE
Give Social Security recipients a CEO-style raise,REAL
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL
